q,a
แสดง ข้อมูลทั้งหมดของ products ที่ price product อยู่ในช่วง 148 ถึง 176.,"SELECT  *  FROM products  WHERE PPrice BETWEEN ""148"" AND ""176"";"
แสดง ข้อมูลทั้งหมดของ customers ที่ customer number อยู่ในช่วง 20 ถึง 30,"SELECT  *  FROM customers  WHERE CustomerNo BETWEEN ""20"" AND ""30"";"
แสดง ข้อมูลทั้งหมดของ orders_details ที่ product number อยู่ในช่วง Kxbjy ถึง Ogsme.,"SELECT  *  FROM orders_details  WHERE ProductNo BETWEEN ""Kxbjy"" AND ""Ogsme"";"
แสดง ข้อมูลทั้งหมดของ customers ที่ customer number อยู่ในช่วง Ntvzw ถึง Skvmj.,"SELECT  *  FROM customers  WHERE CustomerNo BETWEEN ""Ntvzw"" AND ""Skvmj"";"
แสดง ข้อมูลทั้งหมดของ products ที่ price product อยู่ในช่วง 112 ถึง 378.,"SELECT  *  FROM products  WHERE PPrice BETWEEN ""112"" AND ""378"";"
แสดง ข้อมูลทั้งหมดของ orders_details ที่ order number อยู่ในช่วง Dqkfu ถึง Ifuyw.,"SELECT  *  FROM orders_details  WHERE OrderNo BETWEEN ""Dqkfu"" AND ""Ifuyw"";"
แสดง ข้อมูลทั้งหมดของ products ที่ price product อยู่ในช่วง Mzrdf ถึง Rtqcd.,"SELECT  *  FROM products  WHERE PPrice BETWEEN ""Mzrdf"" AND ""Rtqcd"";"
แสดง ข้อมูลทั้งหมดของ orders_details ที่ order number อยู่ในช่วง Euavx ถึง Vkagx.,"SELECT  *  FROM orders_details  WHERE OrderNo BETWEEN ""Euavx"" AND ""Vkagx"";"
แสดง ข้อมูลทั้งหมดของ products ที่ product number อยู่ในช่วง Pqghe ถึง Yzaow.,"SELECT  *  FROM products  WHERE ProductNo BETWEEN ""Pqghe"" AND ""Yzaow"";"
"แสดง ProductNo,PName,PTotal  จากตาราง products  ที่ PTotal เป็น ""30"" โดยจัดกลุ่มตาม ProductNo .","SELECT  ProductNo,PName,PTotal  FROM products  WHERE PTotal  =  ""30""  GRUOP BY  ProductNo ;"
"แสดง PTotal,PPrice,ProductNo  จากตาราง products  ที่ ProductNo เป็น ""004"" โดยจัดกลุ่มตาม PTotal .","SELECT  PTotal,PPrice,ProductNo  FROM products  WHERE ProductNo  =  ""004""  GRUOP BY  PTotal ;"
"แสดง CAddress,CustomerNo  จากตาราง customers  ที่ CustomerNo เป็น ""CU-002"" โดยจัดกลุ่มตาม CAddress .","SELECT  CAddress,CustomerNo  FROM customers  WHERE CustomerNo  =  ""CU-002""  GRUOP BY  CAddress ;"
"แสดง PPrice  จากตาราง products  ที่ PPrice เป็น ""33"" โดยจัดกลุ่มตาม PPrice .","SELECT  PPrice  FROM products  WHERE PPrice  =  ""33""  GRUOP BY  PPrice ;"
"แสดง CPhone,CProvince,CName,CAddress  จากตาราง customers  ที่ CAddress เป็น ""1/2 M.1 "" โดยจัดกลุ่มตาม CPhone .","SELECT  CPhone,CProvince,CName,CAddress  FROM customers  WHERE CAddress  =  ""1/2 M.1 ""  GRUOP BY  CPhone ;"
"แสดง ODate  จากตาราง orderss  ที่ ODate เป็น ""2016-04-08"" โดยจัดกลุ่มตาม ODate .","SELECT  ODate  FROM orderss  WHERE ODate  =  ""2016-04-08""  GRUOP BY  ODate ;"
"แสดง OrderNo,ProductNo,quantity  จากตาราง orders_details  ที่ quantity เป็น 736 โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo,ProductNo,quantity  FROM orders_details  WHERE quantity  =  ""736""  GRUOP BY  OrderNo ;"
"แสดง OrderNo,ProductNo,quantity  จากตาราง orders_details  ที่ quantity เป็น 6 โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo,ProductNo,quantity  FROM orders_details  WHERE quantity  =  ""6""  GRUOP BY  OrderNo ;"
"แสดง ProductNo,OrderNo,quantity  จากตาราง orders_details  ที่ quantity เป็น ""12"" โดยจัดกลุ่มตาม ProductNo .","SELECT  ProductNo,OrderNo,quantity  FROM orders_details  WHERE quantity  =  ""12""  GRUOP BY  ProductNo ;"
"แสดง PPrice  จากตาราง products  ที่ PPrice เป็น ""61"" โดยจัดกลุ่มตาม PPrice .","SELECT  PPrice  FROM products  WHERE PPrice  =  ""61""  GRUOP BY  PPrice ;"
แสดง PName  เป็นตัวพิมพ์ใหญ่  จากตาราง products .,SELECT UPPER(PName)  FROM products ;
แสดง CName  เป็นตัวพิมพ์ใหญ่  จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่  จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์เล็ก  จากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง PName  เป็นตัวพิมพ์ใหญ่ จากตาราง products .,SELECT UPPER(PName)  FROM products ;
แสดง CName  เป็นตัวพิมพ์เล็ก จากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่ จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์เล็ก จากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่ จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่ จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่ จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์เล็ก จากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์เล็ก จากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์เล็ก จากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่ จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName เป็นตัวพิมพ์เล็กจากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName  เป็นตัวพิมพ์ใหญ่จากตาราง customers .,SELECT UPPER(CName)  FROM customers ;
แสดง CName เป็นตัวพิมพ์เล็กจากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง PName  เป็นตัวพิมพ์ใหญ่จากตาราง products .,SELECT UPPER(PName)  FROM products ;
แสดง PName เป็นตัวพิมพ์เล็กจากตาราง products .,SELECT  LOWER(PName)  FROM products ;
"แสดง ODate,OrderNo,CustomerNo จากตาราง orderss  ที่ CustomerNo เป็น CU-001 โดยจัดกลุ่มตาม ODate .","SELECT  ODate,OrderNo,CustomerNo  FROM orderss  WHERE CustomerNo  =  ""CU-001""  GRUOP BY  ODate ;"
"แสดง ODate,CustomerNo,OrderNo จากตาราง orderss  ที่ OrderNo เป็น ""OR-004"" โดยจัดกลุ่มตาม ODate .","SELECT  ODate,CustomerNo,OrderNo  FROM orderss  WHERE OrderNo  =  ""OR-004""  GRUOP BY  ODate ;"
"แสดง PPrice,PTotal,PName,ProductNo จากตาราง products  ที่ ProductNo เป็น ""003"" โดยจัดกลุ่มตาม PPrice .","SELECT  PPrice,PTotal,PName,ProductNo  FROM products  WHERE ProductNo  =  ""003""  GRUOP BY  PPrice ;"
"แสดง PPrice,ProductNo,PTotal,PName จากตาราง products  ที่ PName เป็น LUMIA โดยจัดกลุ่มตาม PPrice .","SELECT  PPrice,ProductNo,PTotal,PName  FROM products  WHERE PName  =  ""LUMIA""  GRUOP BY  PPrice ;"
"แสดง PPrice,PTotal,PName,ProductNo จากตาราง products  ที่ ProductNo เป็น ""001"" โดยจัดกลุ่มตาม PPrice .","SELECT  PPrice,PTotal,PName,ProductNo  FROM products  WHERE ProductNo  =  ""001""  GRUOP BY  PPrice ;"
"แสดง OrderNo จากตาราง orders_details  ที่ OrderNo เป็น ""OR-004"" โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo  FROM orders_details  WHERE OrderNo  =  ""OR-004""  GRUOP BY  OrderNo ;"
"แสดง OrderNo,ProductNo,quantity จากตาราง orders_details  ที่ quantity เป็น 12 โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo,ProductNo,quantity  FROM orders_details  WHERE quantity  =  ""12""  GRUOP BY  OrderNo ;"
"แสดง CName,CProvince,CustomerNo,CPhone จากตาราง customers  ที่ CPhone เป็น ""0479623181"" โดยจัดกลุ่มตาม CName .","SELECT  CName,CProvince,CustomerNo,CPhone  FROM customers  WHERE CPhone  =  ""0479623181""  GRUOP BY  CName ;"
แสดง ข้อมูลทั้งหมดจากตาราง products  โดยเรียงลำดับ PTotal จากน้อยไปมาก.,SELECT  *  FROM products  ORDER BY  PTotal ;
"แสดง Ototal,ODate,CustomerNo,OrderNo จากตาราง orderss  ที่ OrderNo เป็น ""OR-002"" โดยจัดกลุ่มตาม Ototal .","SELECT  Ototal,ODate,CustomerNo,OrderNo  FROM orderss  WHERE OrderNo  =  ""OR-002""  GRUOP BY  Ototal ;"
"แสดง OrderNo,ProductNo,quantity จากตาราง orders_details  ที่ quantity เป็น 6 โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo,ProductNo,quantity  FROM orders_details  WHERE quantity  =  ""6""  GRUOP BY  OrderNo ;"
แสดง ข้อมูลทั้งหมดจากตาราง orders_details  โดยเรียงลำดับ OrderNo จากน้อยไปมาก.,SELECT  *  FROM orders_details  ORDER BY  OrderNo ;
"แสดง PTotal,ProductNo,PName,PPrice จากตาราง products  ที่ PPrice เป็น ""61"" โดยจัดกลุ่มตาม PTotal .","SELECT  PTotal,ProductNo,PName,PPrice  FROM products  WHERE PPrice  =  ""61""  GRUOP BY  PTotal ;"
"แสดง OrderNo จากตาราง orders_details  ที่ OrderNo เป็น ""OR-002"" โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo  FROM orders_details  WHERE OrderNo  =  ""OR-002""  GRUOP BY  OrderNo ;"
แสดง CName เป็นตัวพิมพ์เล็กจากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName เป็นตัวพิมพ์เล็กจากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
แสดง CName เป็นตัวพิมพ์เล็กจากตาราง customers .,SELECT  LOWER(CName)  FROM customers ;
"แสดง Ototal,CustomerNo จากตาราง orderss  ที่ CustomerNo เป็น ""CU-002"" โดยจัดกลุ่มตาม Ototal .","SELECT  Ototal,CustomerNo  FROM orderss  WHERE CustomerNo  =  ""CU-002""  GRUOP BY  Ototal ;"
"แสดง ProductNo,PTotal,PName จากตาราง products  ที่ PName เป็น ""LUMIA"" โดยจัดกลุ่มตาม ProductNo .","SELECT  ProductNo,PTotal,PName  FROM products  WHERE PName  =  ""LUMIA""  GRUOP BY  ProductNo ;"
"แสดง CProvince,CName จากตาราง customers  ที่ CName เป็น ""Jutarmas Yodrat"" โดยจัดกลุ่มตาม CProvince .","SELECT  CProvince,CName  FROM customers  WHERE CName  =  ""Jutarmas Yodrat""  GRUOP BY  CProvince ;"
แสดง ข้อมูลทั้งหมดจากตาราง orderss  โดยเรียงลำดับ Ototal จากน้อยไปมาก.,SELECT  *  FROM orderss  ORDER BY  Ototal ;
"แสดง ProductNo,OrderNo จากตาราง orders_details  ที่ OrderNo เป็น OR-002 โดยจัดกลุ่มตาม ProductNo .","SELECT  ProductNo,OrderNo  FROM orders_details  WHERE OrderNo  =  ""OR-002""  GRUOP BY  ProductNo ;"
แสดง ข้อมูลทั้งหมดจากตาราง customers  โดยเรียงลำดับ CustomerNo จากน้อยไปมาก.,SELECT  *  FROM customers  ORDER BY  CustomerNo ;
แสดง OrderNo จากตาราง orderss  ที่ OrderNo เป็น OR-001 โดยจัดกลุ่มตาม OrderNo .,"SELECT  OrderNo  FROM orderss  WHERE OrderNo  =  ""OR-001""  GRUOP BY  OrderNo ;"
แสดง ข้อมูลทั้งหมดจากตาราง products  โดยเรียงลำดับ ProductNo จากน้อยไปมาก.,SELECT  *  FROM products  ORDER BY  ProductNo ;
"แสดง PName,PPrice,ProductNo,PTotal จากตาราง products  ที่ PTotal เป็น 30 โดยจัดกลุ่มตาม PName .","SELECT  PName,PPrice,ProductNo,PTotal  FROM products  WHERE PTotal  =  ""30""  GRUOP BY  PName ;"
แสดง ProductNo จากตาราง orders_details  ที่ ProductNo เป็น 004 โดยจัดกลุ่มตาม ProductNo .,"SELECT  ProductNo  FROM orders_details  WHERE ProductNo  =  ""004""  GRUOP BY  ProductNo ;"
แสดง PTotal จากตาราง products  สำหรับ PTotal ที่ total product เป็นตัวพิมพ์เล็ก 30 .,SELECT  PTotal  FROM products  WHERE PTotal < 30 ;
"แสดง OrderNo,Ototal,CustomerNo,ODate จากตาราง orderss  ที่ ODate เป็น 2016-04-08 โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo,Ototal,CustomerNo,ODate  FROM orderss  WHERE ODate  =  ""2016-04-08""  GRUOP BY  OrderNo ;"
แสดง ข้อมูลทั้งหมดจากตาราง orders_details  โดยเรียงลำดับ ProductNo จากน้อยไปมาก.,SELECT  *  FROM orders_details  ORDER BY  ProductNo ;
แสดง ข้อมูลทั้งหมดจากตาราง customers  โดยเรียงลำดับ CName จากน้อยไปมาก.,SELECT  *  FROM customers  ORDER BY  CName ;
"แสดง ProductNo,PName,PTotal,PPrice จากตาราง products  ที่ PPrice เป็น ""61"" โดยจัดกลุ่มตาม ProductNo .","SELECT  ProductNo,PName,PTotal,PPrice  FROM products  WHERE PPrice  =  ""61""  GRUOP BY  ProductNo ;"
"แสดง CustomerNo,OrderNo จากตาราง orderss  ที่ OrderNo เป็น ""OR-004"" โดยจัดกลุ่มตาม CustomerNo .","SELECT  CustomerNo,OrderNo  FROM orderss  WHERE OrderNo  =  ""OR-004""  GRUOP BY  CustomerNo ;"
"แสดง CName,CustomerNo,CProvince,CAddress จากตาราง customers  ที่ CAddress เป็น ""214 M.12"" โดยจัดกลุ่มตาม CName .","SELECT  CName,CustomerNo,CProvince,CAddress  FROM customers  WHERE CAddress  =  ""214 M.12""  GRUOP BY  CName ;"
แสดง ข้อมูลทั้งหมดจากตาราง products  โดยเรียงลำดับ PTotal จากน้อยไปมาก.,SELECT  *  FROM products  ORDER BY  PTotal ;
"แสดง OrderNo,ProductNo จากตาราง orders_details  ที่ ProductNo เป็น ""003"" โดยจัดกลุ่มตาม OrderNo .","SELECT  OrderNo,ProductNo  FROM orders_details  WHERE ProductNo  =  ""003""  GRUOP BY  OrderNo ;"
แสดง ข้อมูลทั้งหมดจากตาราง products  โดยเรียงลำดับ ProductNo จากน้อยไปมาก.,SELECT  *  FROM products  ORDER BY  ProductNo ;
แสดง ข้อมูลทั้งหมดจากตาราง orderss  โดยเรียงลำดับ CustomerNo จากน้อยไปมาก.,SELECT  *  FROM orderss  ORDER BY  CustomerNo ;
แสดง OrderNo จากตาราง orderss  ที่ OrderNo เป็น OR-004 โดยจัดกลุ่มตาม OrderNo .,"SELECT  OrderNo  FROM orderss  WHERE OrderNo  =  ""OR-004""  GRUOP BY  OrderNo ;"
"แสดง quantity,ProductNo จากตาราง orders_details  ที่ ProductNo เป็น ""004"" โดยจัดกลุ่มตาม quantity .","SELECT  quantity,ProductNo  FROM orders_details  WHERE ProductNo  =  ""004""  GRUOP BY  quantity ;"
"แสดง ODate,Ototal,CustomerNo,OrderNo จากตาราง orderss  ที่ OrderNo เป็น ""OR-002"" โดยจัดกลุ่มตาม ODate .","SELECT  ODate,Ototal,CustomerNo,OrderNo  FROM orderss  WHERE OrderNo  =  ""OR-002""  GRUOP BY  ODate ;"
